timestamp_s,date_jst,time_jst,datetime_jst,connected,demo_mode,pressure_MPa,vesim_mA,emergency_stop,fill_active,ignition_active,can_confirm,armed_state,auto_purge,limit_ch5,launch_voltage_V,sat_voltage_V,cmd_SHIFT,cmd_FILL,cmd_DUMP,cmd_OXYGEN,cmd_IGNITER,cmd_OPEN,cmd_CLOSE,cmd_PURGE,fb_SHIFT,fb_FILL,fb_DUMP,fb_OXYGEN,fb_IGNITER,fb_OPEN,fb_CLOSE,fb_PURGE
1788006537.688,2026-08-29,21:28:57.687,2026-08-29 21:28:57.687,1,1,0.003,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.797,2026-08-29,21:28:57.796,2026-08-29 21:28:57.796,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006537.907,2026-08-29,21:28:57.906,2026-08-29 21:28:57.906,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.017,2026-08-29,21:28:58.017,2026-08-29 21:28:58.017,1,1,0.005,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.127,2026-08-29,21:28:58.127,2026-08-29 21:28:58.127,1,1,0.001,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.234,2026-08-29,21:28:58.234,2026-08-29 21:28:58.234,1,1,0.005,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.342,2026-08-29,21:28:58.342,2026-08-29 21:28:58.342,1,1,0.005,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.45,2026-08-29,21:28:58.450,2026-08-29 21:28:58.450,1,1,0.001,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.559,2026-08-29,21:28:58.559,2026-08-29 21:28:58.559,1,1,0.003,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.669,2026-08-29,21:28:58.669,2026-08-29 21:28:58.669,1,1,0.003,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.777,2026-08-29,21:28:58.777,2026-08-29 21:28:58.777,1,1,0.003,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.886,2026-08-29,21:28:58.886,2026-08-29 21:28:58.886,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006538.995,2026-08-29,21:28:58.995,2026-08-29 21:28:58.995,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.102,2026-08-29,21:28:59.101,2026-08-29 21:28:59.101,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.212,2026-08-29,21:28:59.211,2026-08-29 21:28:59.211,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.321,2026-08-29,21:28:59.321,2026-08-29 21:28:59.321,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.428,2026-08-29,21:28:59.428,2026-08-29 21:28:59.428,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.536,2026-08-29,21:28:59.536,2026-08-29 21:28:59.536,1,1,0.002,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.645,2026-08-29,21:28:59.645,2026-08-29 21:28:59.645,1,1,0.002,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.754,2026-08-29,21:28:59.753,2026-08-29 21:28:59.753,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.863,2026-08-29,21:28:59.863,2026-08-29 21:28:59.863,1,1,0.006,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006539.971,2026-08-29,21:28:59.971,2026-08-29 21:28:59.971,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.078,2026-08-29,21:29:00.078,2026-08-29 21:29:00.078,1,1,0.003,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.188,2026-08-29,21:29:00.187,2026-08-29 21:29:00.187,1,1,0.003,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.297,2026-08-29,21:29:00.297,2026-08-29 21:29:00.297,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.408,2026-08-29,21:29:00.407,2026-08-29 21:29:00.407,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.517,2026-08-29,21:29:00.516,2026-08-29 21:29:00.516,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.628,2026-08-29,21:29:00.627,2026-08-29 21:29:00.627,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.737,2026-08-29,21:29:00.736,2026-08-29 21:29:00.736,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.845,2026-08-29,21:29:00.845,2026-08-29 21:29:00.845,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006540.955,2026-08-29,21:29:00.955,2026-08-29 21:29:00.955,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.064,2026-08-29,21:29:01.063,2026-08-29 21:29:01.063,1,1,0.005,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.172,2026-08-29,21:29:01.172,2026-08-29 21:29:01.172,1,1,0.008,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.28,2026-08-29,21:29:01.280,2026-08-29 21:29:01.280,1,1,0.003,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.389,2026-08-29,21:29:01.388,2026-08-29 21:29:01.388,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.498,2026-08-29,21:29:01.497,2026-08-29 21:29:01.497,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.607,2026-08-29,21:29:01.607,2026-08-29 21:29:01.607,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.715,2026-08-29,21:29:01.714,2026-08-29 21:29:01.714,1,1,0.003,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.824,2026-08-29,21:29:01.824,2026-08-29 21:29:01.824,1,1,0.001,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006541.932,2026-08-29,21:29:01.932,2026-08-29 21:29:01.932,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.041,2026-08-29,21:29:02.041,2026-08-29 21:29:02.041,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.149,2026-08-29,21:29:02.149,2026-08-29 21:29:02.149,1,1,0.001,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.258,2026-08-29,21:29:02.257,2026-08-29 21:29:02.257,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.366,2026-08-29,21:29:02.366,2026-08-29 21:29:02.366,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.473,2026-08-29,21:29:02.473,2026-08-29 21:29:02.473,1,1,0.006,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.582,2026-08-29,21:29:02.581,2026-08-29 21:29:02.581,1,1,0.01,4.02,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.691,2026-08-29,21:29:02.690,2026-08-29 21:29:02.690,1,1,0.005,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.8,2026-08-29,21:29:02.800,2026-08-29 21:29:02.800,1,1,0.001,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006542.909,2026-08-29,21:29:02.908,2026-08-29 21:29:02.908,1,1,0.001,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.017,2026-08-29,21:29:03.017,2026-08-29 21:29:03.017,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.125,2026-08-29,21:29:03.125,2026-08-29 21:29:03.125,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.237,2026-08-29,21:29:03.236,2026-08-29 21:29:03.236,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.345,2026-08-29,21:29:03.345,2026-08-29 21:29:03.345,1,1,0.004,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.454,2026-08-29,21:29:03.454,2026-08-29 21:29:03.454,1,1,0.005,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.563,2026-08-29,21:29:03.563,2026-08-29 21:29:03.563,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.671,2026-08-29,21:29:03.671,2026-08-29 21:29:03.671,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.779,2026-08-29,21:29:03.779,2026-08-29 21:29:03.779,1,1,0.0,4.0,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.888,2026-08-29,21:29:03.888,2026-08-29 21:29:03.888,1,1,0.003,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006543.997,2026-08-29,21:29:03.997,2026-08-29 21:29:03.997,1,1,0.007,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006544.106,2026-08-29,21:29:04.106,2026-08-29 21:29:04.106,1,1,0.007,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006544.214,2026-08-29,21:29:04.214,2026-08-29 21:29:04.214,1,1,0.006,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1788006544.323,2026-08-29,21:29:04.322,2026-08-29 21:29:04.322,1,1,0.008,4.01,0,0,0,0,0,1,1,12.4,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
